"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"26-Aug-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","BUY","11,74,021","273.73","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","J4S FINANCIAL SOLUTIONS LLP","BUY","5,41,318","148.39","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","BLITZQUANT RESEARCH LLP","BUY","6,57,969","149.90","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","14,89,966","148.66","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","6,09,909","149.62","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","HRTI PRIVATE LIMITED","BUY","5,85,163","148.20","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","IRAGE BROKING SERVICES LLP","BUY","8,13,517","149.05","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","29,17,206","149.33","-"
"26-Aug-2026","RGL","Renaissance Global Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","17,02,359","148.47","-"
"26-Aug-2026","RUBICON","Rubicon Research Limited","ARANDA INVESTMENTS PTE. LTD.","BUY","8,43,372","1,660.00","-"
"26-Aug-2026","SHAH","Shah Metacorp Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","1,21,17,771","2.56","-"
"26-Aug-2026","SHAH","Shah Metacorp Limited","DHANJIT REAL TRADE LLP","BUY","1,49,95,183","2.90","-"
"26-Aug-2026","SHREEKARNI","Shree Karni Fabcom Ltd","MANSUKH SECURITIES & FINANCE LIMITED","BUY","42,900","347.18","-"
"26-Aug-2026","SILGO","Silgo Retail Limited","NITIN JAIN","BUY","2,00,000","72.35","-"
"26-Aug-2026","SUNSHINE","Sunshine Pictures Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","2,76,889","374.69","-"
"26-Aug-2026","TCC","TCC Concept Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,89,909","253.61","-"
"26-Aug-2026","VCL","Vaxtex Cotfab Limited","PRIMUS TEQ POWER PRIVATE LIMITED","BUY","10,00,000","2.23","-"
"26-Aug-2026","VIJAYPD","Vijaypd Ceutical Limited","INVICTO MULTIPLIER FUND","BUY","2,32,000","63.90","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","KOTAK MAHINDRA MUTUAL FUND","BUY","24,69,302","263.10","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","F3 ADVISORS PRIVATE LIMITED","BUY","48,74,466","265.12","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","98,07,102","264.68","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","BANDHAN MUTUAL FUND","BUY","28,43,147","263.10","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","41,63,047","264.70","-"
"26-Aug-2026","VIYASH","Viyash Scientific Limited","EDELWEISS MUTUAL FUND","BUY","25,92,600","270.00","-"
"26-Aug-2026","WEL","Wonder Electricals Ltd","CORE INC","BUY","8,59,557","151.42","-"
"26-Aug-2026","WELCORP","Welspun Corp Limited","EURO PACIFIC GROWTH FUND","BUY","29,45,863","2,275.30","-"
"26-Aug-2026","AASTHA","Aastha Spintex Limited","JAGID VANITABEN RAJENDRAPRASAD","SELL","2,43,234","79.48","-"
"26-Aug-2026","AASTHA","Aastha Spintex Limited","L7 HITECH PRIVATE LIMITED","SELL","10,89,085","76.83","-"
"26-Aug-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","SELL","10,59,530","34.21","-"
"26-Aug-2026","ATALREAL","Atal Realtech Limited","KARAN RASHMIKANT SHAH","SELL","5,00,000","34.10","-"
"26-Aug-2026","ATALREAL","Atal Realtech Limited","MAHESH MULCHAND WAGHELA","SELL","3,06,723","34.21","-"
"26-Aug-2026","ATALREAL","Atal Realtech Limited","JAGID VANITABEN RAJENDRAPRASAD","SELL","6,43,395","34.32","-"
"26-Aug-2026","ATALREAL","Atal Realtech Limited","QE SECURITIES LLP","SELL","7,20,010","34.37","-"
