"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SHRIRAMFIN",1112,1127.5,1092.1,1117.5,1093,-2.19,1802978,1990794218.26,"03-Jul-2026"
"NTPC",335,335.95,328.65,334.6,329.35,-1.57,2778174,920575736.64,"02-Sep-2026"
"HINDALCO",1060.5,1061.8,1038.7,1053,1039.3,-1.3,769375,805574093.75,"10-Jul-2026"
"HDFCBANK",728.15,728.15,717.1,727.2,718.45,-1.2,11791964,8496699660.2,"19-Jun-2026"
"HCLTECH",1295,1304.7,1280,1298.5,1285,-1.04,350707,451861420.01,"17-Jul-2026"
"M&M",3410,3420,3363.2,3398.2,3364.7,-0.99,429072,1453082363.04,"03-Jul-2026"
"TCS",2270,2283.6,2243.9,2270,2247.8,-0.98,603860,1363781578.4,"15-Jul-2026"
"POWERGRID",264.8,265.95,262.3,265.2,262.8,-0.9,2481267,654111606.54,"13-Aug-2026"
"BAJAJ-AUTO",11750,11822,11620,11724,11628,-0.82,68550,800473431,"24-Jun-2026"
"MARUTI",13520,13580,13407,13520,13425,-0.7,63367,853289883.28,"07-Aug-2026"
"COALINDIA",403.5,404.95,400.1,403.5,400.75,-0.68,810308,325930186.84,"04-Sep-2026"
"TATACONSUM",1041,1048.4,1037.1,1047.1,1040.1,-0.67,286551,298419942.42,"25-May-2026"
"JIOFIN",242,242.65,239.35,241,239.45,-0.64,2981867,718093210.94,"10-Aug-2026"
"INDIGO",5255,5258.5,5200,5250.5,5217.5,-0.63,110529,576562370.31,"13-Aug-2025"
"INFY",1120,1130.7,1109.9,1120,1113.4,-0.59,2052980,2295190580.4,"10-Jun-2026"
"SBIN",1052,1054.4,1045.3,1052,1045.9,-0.58,1206907,1266202340.91,"15-May-2026"
"TRENT",2908.2,2923.5,2889,2908.2,2891.3,-0.58,90688,263514842.24,"12-Jun-2026"
"HINDUNILVR",2020,2028,2004.3,2021,2009.9,-0.55,286558,576591948.54,"23-Jun-2026"
"GRASIM",3289,3299.8,3277.2,3299.9,3282.2,-0.54,186782,613859043,"07-Aug-2026"
"ITC",269.5,271.25,268.6,270.25,269,-0.46,2379584,642344904.96,"27-May-2026"
