"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KOTAKBANK",415.75,427.7,415,416.7,423.7,1.68,13402307,5669175861,"17-Jul-2026"
"TECHM",1571.6,1600,1571.6,1571,1594.1,1.47,666808,1059404546.16,"03-Jul-2026"
"SBILIFE",1769,1798.9,1766.5,1768.2,1791.3,1.31,392795,700722712.3,"06-Mar-2026"
"ADANIENT",3125,3159,3125,3112,3144.2,1.03,547976,1723439317.6,"12-Jun-2026"
"ICICIBANK",1445,1445,1433.1,1430,1441.7,0.82,2196366,3162635258.04,"03-Aug-2026"
"BEL",410.8,412.9,408,406.9,410.15,0.8,4195497,1721999788.68,"13-Aug-2026"
"SUNPHARMA",1907.1,1925,1898,1899.5,1911.3,0.62,333595,637216489.25,"07-Jul-2026"
"ASIANPAINT",2637.9,2650,2627.9,2626.5,2641,0.55,127863,337550648.22,"23-Jun-2026"
"TMPV",315,317.55,314.15,313.1,314.8,0.54,2122963,669285315.38,"19-Jun-2026"
"ONGC",232.21,234.44,231.82,232.21,233.1,0.38,2504229,583285018.68,"18-Feb-2026"
"AXISBANK",1260,1262.6,1251.4,1255,1259.4,0.35,2437167,3068149536.3,"10-Jul-2026"
"TITAN",5100,5125,5069.5,5100,5117,0.33,448935,2287656036.9,"09-Jul-2026"
"ULTRACEMCO",11674,11815,11674,11717,11743,0.22,46535,546876527.9,"30-Jul-2026"
"APOLLOHOSP",8849,8868,8758.5,8766.5,8785,0.21,67798,596248833.02,"14-Aug-2026"
"DRREDDY",1182,1191.9,1177,1182,1184.5,0.21,300626,355345944.52,"10-Jul-2026"
"BAJFINANCE",1090,1107,1087,1085,1087,0.18,2342165,2571533218.45,"30-Jun-2026"
"EICHERMOT",8015,8063.5,7987,8035,8049,0.17,62522,501802822.44,"31-Jul-2026"
"ADANIPORTS",1703,1709.6,1691.5,1691.5,1694.1,0.15,525964,892939602.08,"12-Jun-2026"
"ETERNAL",329,330.8,325.3,327,327.25,0.08,9983364,3270450212.76,"-"
"CIPLA",1405,1417.5,1402.8,1402.7,1403.5,0.06,165164,232365928.32,"05-Jun-2026"
