"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"BBTC","The Bombay Burmah Trading Corporation Limited",10921657,25150,434.2607157057654,32502,336.02466659953905,1630.4,14.32,17570106482
"BANK10ADD","DSP Mutual Fund - DSP BSE Top 10 Banks ETF",7072419,22115,319.8018991634637,37362,189.29260120782703,17.02,-0.18,120584743
"VISACHROME","VISA Chrome Limited",4070343,17951,226.73689780988013,18418,220.99809968509066,36.59,-1.9,150561987
"IMAGICAA","Imagicaaworld Entertainment Limited",31184703,948760,32.868899955573596,721892,43.19852773391161,60.21,19.99,1814949714
"BOMDYEING","Bombay Dyeing & Mfg Company Limited",10569876,373067,28.332329345078595,394297,26.806852139581714,118.02,6.11,1264051470
"BANARBEADS","Banaras Beads Limited",49378,2393,20.631476323119777,2436,20.269358510281002,120.4,7.74,5960912
"MOSCHIP","Moschip Technologies Limited",14578419,726530,20.065799929528094,964684,15.112112883271854,219.29,6.69,3206960611
"ROSSELLIND","Rossell India Limited",2240680,113333,19.770676807828224,71993,31.123345653461357,58.94,-4.58,150058339
"WEL","Wonder Electricals Limited",72997039,3836608,19.02644813976996,2561800,28.49442714403357,141.95,-8.96,12022612323
"AYE","Aye Finance Limited",11890284,635973,18.696189202802422,673565,17.652756876636644,181.72,2.87,2108266256
"NSLNISP","NMDC Steel Limited",68397707,4052942,16.87606361008867,6387668,10.707773804101599,45.05,8.71,3034806259
"MVELECTRO","MV Electrosystems Limited",11629351,697594,16.67063809006613,998165,11.650719478680216,660.6,17.93,7437086258
"INOXINDIA","INOX India Limited",1579010,103950,15.190091390091391,103157,15.306808397761232,2097,8.84,3246097177
"TRAVELFOOD","Travel Food Services Limited",473673,32436,14.603236099621308,59782,7.923217642013832,1356.6,5.34,649803568
"ALOKINDS","Alok Industries Limited",46004633,3402870,13.519361155009237,2962789,15.527475294393222,10.24,-9.22,475227858
"GKENERGY","GK Energy Limited",4871680,430148,11.325577097211777,390621,12.471625606958801,141.3,5.59,690024755
"SHYAMMETL","Shyam Metalics and Energy Limited",1925389,180498,10.667053865587189,338106,5.694619020244818,1045,0.43,2025451466
"WHIRLPOOL","Whirlpool of India Limited",2475802,232501,10.648564952408806,205347,12.056669461638787,828.6,7.37,2005300587
"SILVERAXIS","Axis Mutual Fund - Axis Silver ETF",2957039,279575,10.576901501146681,326137,9.066853890302745,235.76,-1.44,691680992
"RPPINFRA","R.P.P. Infra Projects Limited",516298,49158,10.502756399389726,353418,1.4608699454676406,56.86,-0.56,29351541
"JINDWORLD","Jindal Worldwide Limited",11873758,1131814,10.49090155942764,2289223,5.186804992227815,37.06,6.37,440397684
"SHRIKRISH","Shri Krishna Devcon Limited",960,100,9.552238805970148,486,1.9721524766035152,38.15,-0.13,36633
"RAMRAT","Ram Ratna Wires Limited",2476589,259271,9.552118856255388,282639,8.762355598326941,569.5,8.75,1387558519
"ICICIAMC","ICICI Prudential Asset Management Company Limited",4086775,449047,9.100996109538645,355236,11.504385429518228,3105.4,-3.64,12615179673
"ENKEIWHEL","Enkei Wheels (India) Limited",16991,2039,8.33232529628116,1987,8.54839318281869,395.05,-2.41,6782127
