"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"HDFCBANK","728.15","728.15","710.00","727.20","714.00","-1.82","3,81,94,353","27,35,47,95,618.60","19-Jun-2026"
"BBTC","1,450.00","1,639.00","1,449.00","1,426.20","1,622.20","13.74","1,24,58,618","20,04,95,29,361.22","20-Feb-2026"
"WEL","157.50","179.20","124.74","155.92","132.67","-14.91","11,88,77,488","18,09,90,97,548.00","20-Feb-2026"
"ICICIAMC","3,099.70","3,118.20","3,060.70","3,222.80","3,099.00","-3.84","42,63,043","13,16,20,60,001.64","12-Jun-2026"
"ADANIPOWER","209.15","216.70","207.30","207.20","213.61","3.09","6,16,53,205","13,09,39,07,677.90","22-Sep-2025"
"ICICIBANK","1,445.00","1,453.80","1,433.10","1,430.00","1,448.60","1.30","86,47,286","12,48,70,26,875.44","03-Aug-2026"
"BHARTIARTL","1,915.00","1,915.00","1,881.40","1,902.10","1,888.00","-0.74","65,56,680","12,43,42,19,085.60","24-Jul-2026"
"MILKYMIST","227.39","233.80","214.11","222.11","215.65","-2.91","5,02,75,388","11,24,35,87,772.32",
"KOTAKBANK","415.75","427.70","415.00","416.70","425.55","2.12","2,61,05,563","11,07,13,69,268.30","17-Jul-2026"
"RELIANCE","1,305.00","1,308.40","1,287.00","1,298.00","1,291.10","-0.53","79,68,863","10,31,11,50,901.59","05-Jun-2026"
"HINDCOPPER","547.20","552.90","537.25","556.05","539.40","-2.99","1,80,75,601","9,84,48,76,084.65","13-Feb-2026"
"NETWEB","5,380.00","5,450.10","5,252.20","5,271.90","5,333.20","1.16","17,26,274","9,21,32,96,965.40","07-Aug-2026"
"ETERNAL","329.00","330.80","325.30","327.00","329.60","0.80","2,70,97,764","8,88,96,92,457.84",
"WELCORP","2,315.00","2,437.30","2,313.70","2,306.70","2,406.20","4.31","36,40,653","8,74,41,20,375.40","30-Jun-2026"
"MVELECTRO","565.50","672.15","559.95","560.15","672.15","19.99","1,25,00,791","8,01,48,82,149.65",
"AXISBANK","1,260.00","1,268.70","1,251.40","1,255.00","1,260.60","0.45","60,65,241","7,64,03,84,087.70","10-Jul-2026"
"BHEL","416.00","438.20","416.00","415.50","432.25","4.03","1,77,18,512","7,63,95,13,633.92","17-Jul-2026"
"KALYANKJIL","610.60","635.95","609.90","610.60","634.50","3.91","1,17,16,525","7,31,43,92,227.00","04-Sep-2025"
"TATASTEEL","188.05","190.25","186.80","188.01","187.18","-0.44","3,62,59,345","6,83,16,23,191.45","12-Jun-2026"
"GVT&D","4,420.20","4,539.00","4,396.30","4,340.00","4,406.00","1.52","15,11,623","6,74,19,29,277.38","21-Aug-2026"
