Symbol ,Series ,LTP ,%chng ,New 52W/L price ,Prev.Low ,Prev. Low Date 
ABFRL,EQ,53.65,-1.6,53.47,53.51,30-Mar-2026
ABHAPOWER,SM,24,0,23,23,24-Aug-2026
ABMKNO,EQ,184,-1.28,182.01,182.5,10-Aug-2026
ACI,EQ,482.95,-1.42,482.3,483,12-Dec-2025
AGSTRA,BZ,2.01,4.15,1.88,1.9,26-Aug-2026
AGUL,SM,48.45,-5,48.45,49.6,09-Jul-2026
ALOKINDS,EQ,10.53,-6.65,9.55,11.11,30-Mar-2026
ARSHIYA,BZ,0.84,-1.18,0.81,0.85,26-Aug-2026
ASTRAZEN,EQ,7106,-0.66,7070,7110,25-Aug-2026
AXTEL,EQ,398.05,-2.03,390,400,20-Aug-2026
BIOPOL,SM,71,-19.95,71,84,08-Jul-2026
BLUEPEBBLE,SM,64,-5.88,60.65,65.5,25-Aug-2026
BNAGROCHEM,EQ,234.45,1.91,219.05,221.15,18-Aug-2026
CMSINFO,EQ,241,-2.09,239,240.5,19-Aug-2026
DABUR,EQ,386.2,-1.53,386.05,392.15,25-Aug-2026
DAVANGERE,EQ,2.12,-20,2.12,2.56,26-Aug-2026
DIGIKORE,SM,35.8,-5.54,32,32.4,10-Aug-2026
ELITECON,EQ,11.78,-4.92,11.78,12.39,26-Aug-2026
FASCINATE,ST,98.5,-4.97,98.5,103.65,26-Aug-2026
FIRSTCRY,EQ,188,-2.06,187.55,191.13,26-Aug-2026
FMCGADD,EQ,48.88,2.52,47.26,47.45,24-Aug-2026
GAJA,EQ,165.07,-2.13,164.1,165.4,26-Aug-2026
GGBL,SM,218,-4.7,211,215,30-Mar-2026
GSEC10ADD,EQ,26.82,-0.3,26.82,26.85,24-Aug-2026
GUJENERGY,EQ,251,-1.16,249.05,252,26-Aug-2026
GVKPIL,BE,2.08,-1.89,2.08,2.12,26-Aug-2026
HAZOOR,EQ,20.52,0.79,17.44,19.24,24-Aug-2026
HDFCBANK,EQ,711,-2.23,710,715.1,19-Aug-2026
HINDUNILVR,EQ,2009,-0.59,2004.3,2006.2,24-Aug-2026
HRYNSHP,EQ,99.99,-2.44,91,96,21-Aug-2026
ICELCO,SM,127.45,-6.66,125,131,11-Aug-2026
INDOTHAI,EQ,48.61,-4.98,48.61,51.16,26-Aug-2026
INNOVISION,EQ,251.55,-1.28,251.05,254.2,26-Aug-2026
INOXWIND,EQ,72,-1.64,71.41,72.7,11-Aug-2026
IRFC,EQ,84.65,-1.23,84.5,85,19-Aug-2026
JETKNIT,ST,48.45,-4.91,48.45,50.95,26-Aug-2026
KLL,SM,21.35,-3.83,21,21.2,13-Aug-2026
LALITHAA,EQ,245.99,0.82,240.35,242.25,26-Aug-2026
LANDSMILL,EQ,0.69,-1.43,0.68,0.69,25-Aug-2026
LKPSEC,EQ,15.73,1.94,14.51,15.05,25-Aug-2026
MANDEEP,SM,17.65,3.82,16.15,17,26-Aug-2026
MOOILGAS,EQ,11.1,-0.72,10.9,11.1,19-Aug-2026
NATIONSTD,EQ,103.44,-5,103.44,108.88,26-Aug-2026
NEELAM,SM,7.2,-3.36,7.2,7.4,26-Aug-2026
NFPSAMPOOR,SM,22,-0.23,21.8,21.85,01-Jul-2026
PBMPOLY,EQ,60.2,-0.17,58,58.8,18-Aug-2026
POLYSPIN,EQ,31.93,8.24,28,28,21-Aug-2026
PRAXIS,EQ,4.94,-3.7,4.94,5.05,25-Aug-2026
PRLIND,SM,43,1.18,42.15,42.15,24-Aug-2026
QUICKTOUCH,SM,16.15,4.87,15.4,15.4,26-Aug-2026
RAMKY,EQ,360,-1.69,360,364.25,26-Aug-2026
REPRO,EQ,310,0.76,305,305,26-Aug-2026
RVNL,EQ,216,-2.43,215.11,217.02,25-Aug-2026
SAB,EQ,170,-1.73,170,170,25-Aug-2026
SAICAPI,EQ,140.51,-3.16,140.5,145,21-Aug-2026
SGLRES,EQ,2.37,-0.42,2.28,2.28,20-Aug-2026
SHANKESH,EQ,89.35,-4.68,89.01,93.01,26-Aug-2026
SILKY,SM,69,6.15,62,65,26-Aug-2026
SILVER001,EQ,24,-1.92,23.47,24.01,25-Aug-2026
SITINET,BZ,0.28,3.7,0.27,0.27,26-Aug-2026
SKYTECH,ST,57.35,-4.97,57.35,60.35,26-Aug-2026
SOLEX,EQ,761.25,-2.58,753.05,766.15,20-Aug-2026
STARCEMENT,EQ,188.23,-1.53,186,190.8,26-Aug-2026
SUN-RE,ST,1.1,-8.33,1.1,1.2,26-Aug-2026
SUNSHIEL,EQ,1169.9,-1.58,1131.3,1151.1,17-Aug-2026
SUNTV,EQ,463.9,-0.27,461,464.05,26-Aug-2026
SUPREME,EQ,38.73,-1.8,38.5,38.55,20-Aug-2026
SURANAT&P,EQ,15.9,-1.85,15.5,15.5,30-Mar-2026
SWANCORP,EQ,304,1.28,295.65,295.65,30-Mar-2026
TEJA,SM,272.6,-4.98,272.6,286.9,26-Aug-2026
TRU,EQ,4.05,-1.94,3.95,4,14-Aug-2026
VISAMAN,SM,83.35,-4.96,83.35,85.4,26-Aug-2025
VIVOBIOT,EQ,18.98,2.59,17.51,18.25,25-Aug-2026
WAAREEINDO,EQ,274.7,-0.16,271,273,26-Aug-2026
