Symbol ,Series ,LTP ,%chng ,New 52W/H price ,Prev.High ,Prev. High Date 
AETHER,EQ,1682.8,1.68,1696.1,1692,18-Aug-2026
AKSHARCHEM,BE,367.4,4.92,367.4,350.4,26-Aug-2026
ALPHA,EQ,55.24,0.07,55.59,55.3,26-Aug-2026
ALPHAETF,EQ,27.4,-0.07,27.61,27.49,26-Aug-2026
ANSALBU,EQ,85.69,19,85.69,76,18-Aug-2026
ANTHEM,EQ,922.3,-0.08,942.6,927,26-Aug-2026
ASIANENE,EQ,491.45,2.7,498,491,21-Aug-2026
AUSTENG,EQ,121,-2.43,134,133.9,19-Aug-2026
BODALCHEM,BE,94.47,4.99,94.47,91.2,26-Aug-2026
BPLPHARMA,EQ,1495.9,-2.94,1649,1619,17-Aug-2026
CALSOFT,EQ,33.81,5,33.81,32.2,26-Aug-2026
CYIENTDLM,EQ,811.5,1.7,814.25,804.3,26-Aug-2026
DCBBANK,EQ,217.05,1.51,220.5,220.1,26-Aug-2026
DCMNVL,EQ,192.89,1.96,198.58,189.3,26-Aug-2026
DIVISLAB,EQ,9060,0.39,9150,9043,26-Aug-2026
DSKULKARNI,BE,17.96,1.99,17.96,17.61,26-Aug-2026
ELIQUID,EQ,1045.33,0.02,1045.33,1045.19,26-Aug-2026
EMPIND,EQ,1218.9,-0.24,1234.9,1234,20-Aug-2026
ENEXT50,EQ,74.78,0.55,75.86,75.14,10-Aug-2026
ENTERO,EQ,1745.2,5.9,1786.4,1667,25-Aug-2026
ESAFSFB,BE,43.9,-0.59,44.8,44.7,26-Aug-2026
FRESHARA,ST,425,-1.39,445,435,26-Aug-2026
GATECH,BE,1.03,4.04,1.03,1,26-Aug-2026
GCSL,EQ,540.5,0.46,548,542.8,06-Aug-2026
GIPCL,EQ,200.8,-0.33,204.55,203.7,26-Aug-2026
GLAXO,EQ,3075,1.34,3118,3054.9,19-Aug-2026
GLENMARK,EQ,2460,0.89,2484,2474,29-Apr-2026
GROWWLIQID,EQ,110.52,0.02,112.71,110.99,26-Aug-2026
HFCL,EQ,245.67,4.15,247.44,244.3,25-Aug-2026
IGPL,EQ,514.25,-1.83,541,532.45,06-Aug-2026
IMAGICAA,EQ,60.21,19.99,60.21,59.99,26-Aug-2025
IMPEXFERRO,BZ,4.22,1.93,4.22,4.14,26-Aug-2026
INFINIUM,SM,264,-1.75,282.9,269.95,11-Nov-2025
INOXINDIA,EQ,2160.3,12.12,2224,2119.8,22-Jul-2026
IOLCP,EQ,193,3.76,195.64,187.63,26-Aug-2026
IVZBANKNF,EQ,57.66,-0.1,57.72,57.72,26-Aug-2026
JINDALSAW,EQ,310,2.5,316.95,307.9,26-Aug-2026
JNPR,EQ,249.49,-6.71,282,281.89,21-Aug-2026
JSWSTEEL,EQ,1337.5,-0.26,1351,1341,26-Aug-2026
KENNAMET,EQ,4505,4.15,4555,4369,26-Aug-2026
KRISHANA,EQ,190.69,-7.05,206.39,206.13,26-Aug-2026
LAMOSAIC,ST,60,1.52,60.7,59.65,26-Aug-2026
LANCER,EQ,11.7,-0.17,12.1,11.99,26-Aug-2026
LAURUSLABS,EQ,1929.4,2.25,1930,1898.3,26-Aug-2026
