"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","15.12","15.26","14.91","15.06","14.97","-0.60","43,06,78,395","6,46,87,89,492.90","20-Aug-2024"
"PCJEWELLER","11.17","11.32","10.92","11.23","10.96","-2.40","33,28,71,058","3,69,48,68,743.80","16-Dec-2024"
"HCC","24.11","26.03","24.11","23.88","25.20","5.53","20,20,03,226","5,11,27,01,650.06","05-Dec-2025"
"WEL","157.50","179.20","124.74","155.92","124.74","-20.00","12,95,66,541","19,44,27,55,142.46","20-Feb-2026"
"VOGL","41.89","43.30","41.27","41.21","41.79","1.41","10,07,84,349","4,26,11,62,275.72",
"NSLNISP","41.44","45.48","41.19","41.44","45.07","8.76","8,66,68,492","3,85,84,81,263.84","17-Sep-2024"
"TATAGOLD","15.54","15.54","15.06","15.55","15.31","-1.54","7,86,52,833","1,20,18,15,288.24",
"GATECH","1.03","1.03","1.02","0.99","1.03","4.04","7,78,30,157","7,93,86,760.14","28-Apr-2025"
"ADANIPOWER","209.15","217.40","207.30","207.20","215.00","3.76","7,00,24,737","14,89,49,61,807.27","22-Sep-2025"
"TATSILV","23.94","23.94","22.71","23.36","22.95","-1.76","6,35,51,214","1,45,97,71,385.58",
"ALOKINDS","11.35","11.35","9.55","11.28","10.53","-6.65","6,00,04,535","62,04,46,891.90",
"MILKYMIST","227.39","233.80","212.66","222.11","215.15","-3.13","5,92,35,093","13,18,33,62,298.08",
"KELLTONTEC","13.50","15.45","13.30","13.51","15.07","11.55","5,81,82,615","85,93,57,223.55","25-Jul-2025"
"VISL","38.90","40.38","38.22","38.78","38.86","0.21","5,76,98,620","2,25,14,00,152.40",
"SEPC","5.85","5.94","5.65","5.78","5.72","-1.04","5,02,38,318","28,88,70,328.50","23-May-2025"
"HDFCBANK","728.15","728.15","710.00","727.20","711.00","-2.23","4,65,15,020","33,29,54,51,316.00","19-Jun-2026"
"BAJAJHIND","21.90","22.48","20.87","21.78","21.01","-3.54","4,58,77,765","98,68,30,725.15","20-Jun-2024"
"IFCI","85.95","88.20","83.36","85.44","84.16","-1.50","4,45,99,176","3,85,69,36,740.48","19-Sep-2024"
"SHAH","3.20","3.79","3.14","3.16","3.79","19.94","4,38,93,037","15,84,53,863.57","27-May-2026"
"GOLDBEES","131.24","131.49","128.15","132.37","130.19","-1.65","4,38,44,954","5,70,11,59,368.62","19-Dec-2019"
