Symbol ,Series ,LTP ,%change ,New 52W/L price ,Prev. Low ,Prev. Low Date 
ABLBL,EQ,86.3,2.01,84,84.24,24-Aug-2026
ADVIKCA,EQ,1.18,-0.84,1.12,1.15,17-Aug-2026
ALOKINDS,EQ,8.5,-8.01,8.47,9.16,28-Aug-2026
ALPINETEX,EQ,54.11,-1.9,53.7,54.5,28-Aug-2026
ARSHIYA,BZ,0.77,-4.94,0.77,0.8,28-Aug-2026
ASMS,BE,7.04,0.43,6.66,6.75,28-Aug-2026
ASTRAZEN,EQ,7033.5,-1.03,7006,7070,27-Aug-2026
AUGMONT,EQ,917.2,-4.56,903.6,0,-
AXTEL,EQ,389.5,-1.23,385,390,27-Aug-2026
BENARAS,EQ,10200,0.77,9965,10000,28-Aug-2026
BIOPOL,SM,51.25,-9.93,51.25,56.9,28-Aug-2026
BMETRICS,SM,31.05,-7.31,31.05,33,28-Aug-2026
BOHRAIND,EQ,13.04,3.16,12,12.02,27-Jul-2026
CEREBRAINT,BZ,2.51,-3.83,2.48,2.5,17-Aug-2026
CMICABLES,BZ,2.55,0.79,2.49,2.5,24-Aug-2026
CMSINFO,EQ,246.4,1.59,238.3,239,27-Aug-2026
CRIZAC,EQ,167.03,-3.4,165.31,170.29,19-Aug-2026
CROWN,EQ,106.35,3.55,100.11,100.62,30-Mar-2026
DABUR,EQ,384.55,-0.38,381,383.1,28-Aug-2026
DELPHIFX,BE,6.29,-2.02,6.12,6.19,24-Aug-2026
DIL,BZ,0.65,-4.41,0.65,0.68,24-Aug-2026
DPSCLTD,BE,7.24,0.7,6.84,6.85,21-Aug-2026
EDUCOMP,BZ,0.86,-2.27,0.85,0.85,24-Aug-2026
ELITECON,EQ,10.64,-5,10.64,11.2,28-Aug-2026
EMAMILTD,EQ,365.7,-3.61,364.4,376.4,08-Jun-2026
EPACK,EQ,188.73,-1.68,186.14,190.98,28-Aug-2026
FASCINATE,ST,88.95,-4.97,88.95,93.6,28-Aug-2026
FCONSUMER,BZ,0.22,-4.35,0.22,0.23,24-Aug-2026
FIRSTCRY,EQ,185.42,-0.03,184.27,184.97,28-Aug-2026
FLEXITUFF,BE,2.53,-1.94,2.51,2.55,26-Aug-2026
FMCGADD,EQ,46.87,-0.97,46.6,46.84,28-Aug-2026
GAJA,EQ,152.84,-3.67,149.55,156.91,28-Aug-2026
GANGAFORGE,EQ,1.69,4.97,1.53,1.59,27-Jul-2026
GODREJCP,EQ,906.7,-0.91,901.4,906.3,13-Aug-2026
GSEC10ADD,EQ,26.6,-1.08,26.6,26.66,28-Aug-2026
GUJENERGY,EQ,248.15,-2.61,248.1,249.05,27-Aug-2026
HIMATSEIDE,EQ,69.8,-2.12,68.9,69.06,20-Aug-2026
HINDUNILVR,EQ,2001.5,-0.44,1986.2,1997.5,28-Aug-2026
HORIZONIND,EQ,55.1,-5.08,55,55.13,26-Aug-2026
ICELCO,SM,123.5,-3.52,122,125,27-Aug-2026
ICICIGI,EQ,1551.4,-0.68,1540,1544.6,16-Jul-2026
INDOTHAI,EQ,43.88,-4.98,43.88,46.18,28-Aug-2026
INOXWIND,EQ,70.05,-2.42,69.6,71.27,28-Aug-2026
INSUREIETF,EQ,15.29,-0.39,15.22,15.27,28-Aug-2026
IRCTC,EQ,481.7,-0.81,481,481,25-Aug-2026
IRFC,EQ,82.97,-1.11,82.9,83.65,28-Aug-2026
