"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","VOLUME 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","GOLDMINE STOCKS PRIVATE LIMITED","BUY","5,79,852","592.41","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","YUGA STOCKS AND COMMODITIES PRIVATE LIMITED","BUY","10,33,072","589.45","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED","BUY","6,80,681","591.74","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","13,74,636","588.80","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","BLITZQUANT RESEARCH LLP","BUY","13,09,464","603.96","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","11,51,516","581.57","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","PURE BROKING PRIVATE LIMITED","BUY","7,63,765","588.39","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","PATRONUS TRADETECH LLP","BUY","7,64,041","599.97","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","15,44,877","580.81","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","GRT STRATEGIC VENTURES LLP","BUY","15,05,110","599.51","-"
"28-Aug-2026","TEMPSENS","Tempsens Inst (India) Ltd","IRAGE BROKING SERVICES LLP","BUY","16,47,464","595.70","-"
"28-Aug-2026","WEL","Wonder Electricals Ltd","NEO APEX SHARE BROKING SERVICES LLP","BUY","1,15,600","99.80","-"
"28-Aug-2026","XTRANET","Xtranet Technologies Ltd","NEO APEX SHARE BROKING SERVICES LLP","BUY","3,30,016","197.10","-"
"28-Aug-2026","AASTHA","Aastha Spintex Limited","BULLPULSE MARKETEDGE PRIVATE LIMITED","SELL","2,50,000","82.21","-"
