"SYMBOL","SECURITY NAME","TODAY - VOLUME","PAST WEEK - AVERAGE VOLUME","PAST WEEK - CHANGE","PAST 2 WEEK - AVERAGE VOLUME","PAST 2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHANGE","TODAY - VALUE"
"MIDCAPADD","DSP Mutual Fund - DSP Nifty Midcap 150 ETF",2955736,5960,495.91221771081507,45758,64.59410908550524,23.42,-0.76,69282451
"ASHOKA","Ashoka Buildcon Limited",88666925,437012,202.89338471860296,459073,193.14328452558667,122.29,8.56,11104645687
"DIFFNKG","Diffusion Engineers Limited",6458846,59479,108.58889908843003,71640,90.15635010922593,469.95,14.34,3000715263
"MANALIPETC","Manali Petrochemicals Limited",52048975,841907,61.8226838248482,2327880,22.358953891363672,82.76,12.81,4290917499
"AYMSYNTEX","AYM Syntex Limited",1331012,31424,42.356003615025266,36287,36.67962797106441,280.85,10.4,370513810
"DGCONTENT","Digicontent Limited",182617,5263,34.69431567748309,9527,19.168363598194606,25.5,6.92,4969008
"PAR","Par Drugs and Chemicals Limited",237822,7864,30.240323483037486,8712,27.29632945389436,119.25,19,27449415
"INFRAIETF","ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF",11105074,422762,26.26789717718377,280042,39.6549170341105,94.46,-0.35,1049207391
"SGRL","Shree Ganesh Remedies Limited",122335,4873,25.10053756822192,5865,20.85563776466978,613.8,13.12,75866050
"ALIVUS","Alivus Life Sciences Limited",1094689,44673,24.50426875948551,68869,15.895235882617724,1414,4.73,1555432653
"INNOVISION","Innovision Limited",313920,15159,20.707943586157764,14857,21.128580659056645,274.1,10.86,89150140
"VIMTALABS","Vimta Labs Limited",2095517,104785,19.998253566827312,114897,18.23822205975787,650.2,5.26,1380296092
"VENKEYS","Venky's (India) Limited",1118642,61606,18.15788619364222,42232,26.48783040469025,1678.9,6.81,1893827346
"TNPETRO","Tamilnadu PetroProducts Limited",5512298,313607,17.577054892802344,538515,10.236097152988696,126,13.14,677075563
"NIACL","The New India Assurance Company Limited",23555519,1431544,16.454619919577766,1432839,16.439743647545246,193.85,4.03,4630072814
"KALYANIFRG","Kalyani Forge Limited",59614,3952,15.084514170040485,4289,13.897009114856516,914.3,19.99,52052560
"MOMGF","Motilal Oswal Mutual Fund-Motilal Oswal Nifty India Manufacturing ETF",3062,219,13.968978102189782,1024,2.987608547175334,164.05,-0.65,503515
"SPLPETRO","Supreme Petrochem Limited",1055753,81071,13.022572806552281,60370,17.487924545803903,730.85,4.28,773877506
"NEXTMEDIA","Next Mediaworks Limited",1083507,86599,12.511657070801549,49381,21.941468195708126,5.21,12.77,5666741
"ASIANHOTNR","Asian Hotels (North) Limited",789847,63965,12.347996423077404,36076,21.893791769111576,370.25,17.19,288025607
"BBETF0432","Edelweiss Mutual Fund - BHARAT Bond ETF - April 2032 - Growth",52533,4369,12.024032959487297,2785,18.859450726979,1335.34,-0.53,70157821
"SMALLADD","DSP Mutual Fund - DSP Nifty Smallcap 250 ETF",323401,30201,10.708216892044025,28789,11.23337489970232,18.54,-0.48,6002322
"SUNLOC","Sunil Healthcare Limited",3693,381,9.680209698558322,258,14.272463768115943,81,6.68,291673
"GOLDADD","DSP Mutual Fund - DSP Gold ETF",14471117,1557648,9.290362868842914,1303711,11.099942395208753,14.93,-2.8,216198487
"NORTHARC","Northern Arc Capital Limited",22716478,2464730,9.216616273063169,1542473,14.727303292107996,311.3,8.94,7043698333
