"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"IDEA","14.78","14.92","14.63","14.68","14.67","-0.07","33,82,47,348","4,98,91,48,383.00","20-Aug-2024"
"PCJEWELLER","10.88","11.14","10.69","10.94","11.05","1.01","32,40,46,061","3,54,50,63,907.34","16-Dec-2024"
"OLAELEC","39.00","42.25","38.31","38.98","41.29","5.93","16,26,12,896","6,60,69,61,964.48","-"
"GATECH","1.11","1.11","1.10","1.06","1.11","4.72","15,99,94,556","17,59,94,011.60","28-Apr-2025"
"GROWW","192.00","194.55","190.03","191.46","191.97","0.27","13,03,37,112","25,05,60,06,410.88","-"
"BAJAJHIND","21.75","23.10","21.04","21.67","22.20","2.45","10,54,35,532","2,35,85,92,850.84","20-Jun-2024"
"ZEEL","101.00","101.18","86.90","101.51","93.23","-8.16","10,47,32,384","9,69,92,66,082.24","29-Aug-2025"
"ASHOKA","117.70","129.00","116.91","112.65","121.04","7.45","9,40,57,716","11,76,19,17,385.80","20-Sep-2024"
"RTNPOWER","7.97","8.13","7.39","7.95","7.43","-6.54","8,18,54,147","62,37,28,600.14","22-Sep-2023"
"YESBANK","22.07","22.23","21.98","22.10","22.18","0.36","7,53,65,794","1,66,40,76,731.52","03-Jun-2019"
"HDFCBANK","723.05","739.75","704.15","720.30","709.40","-1.51","7,03,60,872","50,81,53,25,367.12","19-Jun-2026"
"TATAGOLD","15.36","15.36","14.72","15.36","14.97","-2.54","6,87,18,820","1,02,52,84,794.40","-"
"MANALIPETC","75.00","84.80","73.62","73.36","81.63","11.27","6,77,83,541","5,58,87,52,955.45","08-Sep-2025"
"SAGILITY","46.50","47.49","45.85","46.34","46.90","1.21","6,34,65,692","2,96,38,47,816.40","07-Aug-2026"
"ETERNAL","328.80","332.95","316.60","328.00","317.35","-3.25","6,15,91,752","19,97,72,84,761.20","-"
"ALOKINDS","9.30","9.30","8.37","9.24","8.47","-8.33","5,80,44,551","50,84,70,266.76","-"
"LENSKART","646.00","671.70","640.95","636.15","667.40","4.91","5,79,25,019","38,26,87,43,052.54","-"
"TATSILV","23.18","23.18","22.23","23.37","22.63","-3.17","5,34,86,461","1,20,34,45,372.50","-"
"SHIPROCKET","124.74","138.44","124.05","125.40","138.33","10.31","4,92,33,114","6,60,56,06,905.38","-"
"IFCI","90.20","92.14","88.11","89.96","89.90","-0.07","4,75,07,395","4,27,70,90,771.85","19-Sep-2024"
