SYMBOL ,SERIES ,LTP ,%CHANGE ,NEW 52W/H PRICE ,PREV. HIGH ,PREV. HIGH DATE 
3BBLACKBIO,EQ,1457.9,1.16,1510,1463,28-Aug-2026
ADOR,EQ,1699,3.88,1766.4,1701.9,20-Aug-2026
AKIKO,SM,398.9,-2.71,413,412.95,26-Aug-2026
AKUMS,EQ,775.95,0.43,785,783,25-Aug-2026
ALBERTDAVD,EQ,907.9,1.03,931.85,912,28-Aug-2026
ALIVUS,EQ,1400,3.69,1493.8,1418,11-Aug-2026
ALUFLUOR,EQ,482.5,0.96,489,484,28-Aug-2026
ARHAM,SM,213.25,-1,223.75,220.05,26-Aug-2026
ASIANTNE,EQ,10.38,-4.68,10.99,10.99,28-Aug-2026
ATHERENERG,EQ,1717.7,6.27,1717.7,1630,28-Aug-2026
AUGMONT,EQ,904,-5.93,1019.8,0,-
AUROPHARMA,EQ,1717,4.36,1717,1682.4,13-Aug-2026
AVALON,EQ,2381,6.69,2400,2351,20-Aug-2026
AVTNPL,EQ,93.2,9.4,94.8,92.45,18-Aug-2026
AYMSYNTEX,EQ,282.5,11.05,294.7,281.22,02-Jul-2026
BAFNAPH,BE,305.65,5,305.65,291.35,28-Aug-2026
BAJAJ-AUTO,EQ,12130,1.85,12130,11974,28-Aug-2026
BHAGERIA,BE,250.68,5,250.68,244.6,24-Oct-2025
BIRLACABLE,BE,309.86,5,309.86,308.25,13-Aug-2026
BLISSGVS,BE,617.35,4.97,617.5,602.45,20-Aug-2026
BLSE,EQ,328.9,0.81,331.3,328.9,28-Aug-2026
BODALCHEM,EQ,118.89,19.99,118.89,99.19,28-Aug-2026
BOSCHLTD,EQ,50000,2.8,50000,49190,26-Aug-2026
CALSOFT,EQ,37.27,4.99,37.27,35.5,28-Aug-2026
CNL,EQ,1280.1,3.06,1328,1275,18-Aug-2026
COFORGE,EQ,1985.3,-1.45,2021.2,2016.5,28-Aug-2026
COMSYN,EQ,297.01,5.32,301,298,17-Aug-2026
CORDSCABLE,EQ,281.5,12.05,299.9,259.8,25-Aug-2026
CRAFTSMAN,EQ,11428.5,2.79,11500,11199.5,28-Aug-2026
CYIENTDLM,EQ,845.9,3.27,848,836.3,28-Aug-2026
DIFFNKG,EQ,493.2,20,493.2,453.9,07-Aug-2026
DIVISLAB,EQ,9467,2.47,9467,9270,28-Aug-2026
DYCL,EQ,490.9,0.68,503.25,491,28-Aug-2026
ELIQUID,EQ,1045.87,0.01,1045.88,1045.75,28-Aug-2026
ENEXT50,EQ,73.26,-1,76,75.86,27-Aug-2026
ENTERO,EQ,1800.2,-0.46,1841.5,1838,28-Aug-2026
ETL,SM,1110,0.54,1125,1120,28-Aug-2026
FCL,EQ,50.92,1.78,52.21,51.38,24-Aug-2026
FMGOETZE,EQ,626.3,4.03,641.1,614.8,28-Aug-2026
FORCAS,ST,224.7,5,224.7,217.95,19-Aug-2026
FRESHARA,ST,449,2.3,458.95,447.7,28-Aug-2026
GATECH,BE,1.11,4.72,1.11,1.07,28-Aug-2026
GCSL,EQ,550.25,1.65,561.95,548,27-Aug-2026
GFSTEELS,BE,15,0,15,15,24-Aug-2026
GHCLTEXTIL,EQ,133.6,2.15,137,132.04,28-Aug-2026
GIPCL,EQ,198.2,-3.74,207.2,206.8,28-Aug-2026
GKSL,EQ,158.83,-1.13,163.99,163.44,28-Aug-2026
GYFTR,EQ,170,1.91,176.5,175,26-Aug-2026
HALDYNGL,BE,140,0.51,143,140.23,28-Aug-2026
HAPPYFORGE,EQ,2419.1,4.86,2422.3,2340,19-Aug-2026
HATSUN,EQ,1189.55,1.15,1198,1196.55,28-Aug-2026
HBPOR,EQ,61,-1.28,65,63.99,21-Aug-2026
HEALTHCARE,EQ,21.72,-0.78,22.43,22.29,19-Aug-2026
HFCL,EQ,248.9,-1.02,256.7,255.1,28-Aug-2026
HOACFOODS,ST,880,4.14,880,870.45,24-Aug-2026
ICIL,EQ,470.9,8.27,474.65,463.8,03-Jul-2026
IGPL,EQ,537.2,0.9,544.9,541,27-Aug-2026
IMPEXFERRO,BZ,4.38,1.86,4.38,4.3,28-Aug-2026
INDGN,EQ,608,5.02,615.5,596.8,17-Sep-2025
INGERRAND,EQ,4850,-0.21,4934.9,4899,28-Aug-2026
IOLCP,EQ,194,-0.49,197.99,197,28-Aug-2026
IPRINGLTD,EQ,159,9.66,159.01,155.98,26-Aug-2026
IVP,BE,200.93,5,200.93,194,06-Jul-2026
JTLIND,EQ,89.33,-0.6,92.19,91.01,28-Aug-2026
KALYANIFRG,EQ,914.3,19.99,914.3,849.65,09-Oct-2025
KAMDHENU,BE,36.8,1.74,37.4,37.06,28-Jul-2026
KODYTECH,ST,1490,5,1490.05,1480,24-Aug-2026
KOPRAN,EQ,217.9,8,235.07,219,29-May-2026
KRN,EQ,1559,-3.15,1668,1612.1,28-Aug-2026
KSHITIJ-RE,BE,0.04,33.33,0.04,0.03,28-Aug-2026
KTKBANK,EQ,336.3,1.8,342.5,341,26-Aug-2026
LANCER,EQ,13.25,15.22,13.8,12.1,27-Aug-2026
LAURUSLABS,EQ,1915,-1.21,1949,1938.5,28-Aug-2026
LEAPIND,EQ,167.6,-0.48,172.29,171.25,19-Aug-2026
LENSKART,EQ,663,4.22,674.9,673.9,24-Aug-2026
LIQUIDCASE,EQ,115.72,0.02,115.73,115.71,28-Aug-2026
LIQUIDSHRI,EQ,1119.58,0.01,1119.58,1119.44,28-Aug-2026
LOKESHMACH,EQ,342.1,9.49,374.8,358.25,11-Aug-2026
LOTUSCHO,EQ,639,4.01,660,635,17-Aug-2026
MAHASTEEL,BE,1381,3.86,1381,1330,28-Aug-2026
MANAKSTEEL,EQ,99.52,4.99,99.52,94.79,28-Aug-2026
MANALIPETC,EQ,84,14.5,84.8,78.72,19-Aug-2026
MANGLMCEM,EQ,1074,1.04,1102,1089.4,27-Aug-2026
MIDBANKADD,EQ,17.43,1.22,18.22,17.83,20-Aug-2026
MIDSMALL,EQ,52.7,-0.09,52.86,52.81,27-Aug-2026
MINALIND,BE,4.41,5,4.41,4.2,28-Aug-2026
MODISONLTD,EQ,454.05,9.99,454.05,423.95,26-Aug-2026
MOHEALTH,EQ,52,-0.86,53.76,53,27-Jul-2026
MOHITE,EQ,3.2,8.47,3.3,3.16,28-Aug-2026
MOMENTUM50,EQ,55.4,-0.11,55.97,55.88,21-Nov-2025
MOMETAL,EQ,13.27,-2.57,13.75,13.74,27-Aug-2026
MONOLITH,SM,1180,-3.75,1240,1238.5,28-Aug-2026
MOREPENLAB,EQ,107.38,1.12,110.38,106.37,28-Aug-2026
MSTCLTD,EQ,751.7,3.02,763,753.5,26-Aug-2026
MVELECTRO,EQ,746,3.68,780,768,28-Aug-2026
NEAGI,EQ,3528,2.26,3600,3500,26-Aug-2026
NIF500BETA,EQ,38.3,1.19,38.3,38,28-Aug-2026
NIFTYCASE,EQ,9.75,0.62,11.61,11.4,28-Jul-2026
NYKAA,EQ,349.55,4.14,349.55,348,05-Aug-2026
OFSS,EQ,12540,2.87,12540,12275,28-Aug-2026
PARNAXLAB,EQ,132,2.8,138,130,28-Aug-2026
PCCL,SM,411.9,5.1,417,393,28-Aug-2026
PHARMABEES,EQ,27.55,-0.76,28.32,28.01,06-Aug-2026
PIRAMALFIN,EQ,2315,1.61,2324,2299.9,28-Aug-2026
PRECWIRE,EQ,506.5,-0.17,524.9,507.35,28-Aug-2026
PRUDENT,EQ,3600,5.22,4105.5,3509.9,27-Aug-2026
PTCIL,EQ,21900,-0.95,22795,22215,28-Aug-2026
PVP,EQ,68.48,5,68.48,65.22,28-Aug-2026
QLINE,SM,597,8.75,622,600,23-Jun-2026
QMSMEDI,BE,155.5,2.38,157.45,155.5,27-Aug-2026
QPOWER,EQ,1445,0.96,1502.7,1441,28-Apr-2026
QUESS,EQ,383.3,2.97,388.75,376.5,26-Aug-2026
RATNAVEER,EQ,305.8,3.68,314.9,305.25,28-Aug-2026
RPEL,EQ,1790.2,2.39,1810,1798,28-Aug-2026
RSL,EQ,175,-1.4,181,178,28-Aug-2026
SANSERA,EQ,4037.7,4.63,4051,4040.4,18-Aug-2026
SECMARK,EQ,164.4,8.65,179.5,152.34,28-Aug-2026
SERVICE,SM,71.45,-0.76,73,72.4,28-Aug-2026
SETL,EQ,368.5,1.18,382.4,364.2,28-Aug-2026
SGRL,EQ,606,11.68,651.1,589.75,28-Aug-2026
SHAHALLOYS,EQ,107.1,3.83,116.85,103.15,28-Aug-2026
SHETHJI,SM,184.5,3.89,189.5,185,21-May-2026
SHILPAMED,EQ,948.55,4.95,950,919,27-Aug-2026
SHREEPUSHK,EQ,466.1,3.26,491,481.5,27-Aug-2026
SHUKRAPHAR,EQ,44.29,0.02,46.99,46.16,26-Aug-2026
SIMPLXREA,EQ,136.68,0.5,136.68,136.5,19-Aug-2026
SKFINDUS,EQ,3048,3.25,3049.9,3041,09-Jul-2026
SMARTLINK,BE,216,-4.85,233,232.05,14-Aug-2026
SOMANYCERA,EQ,562.9,-0.28,575.1,568.6,28-Aug-2026
SONAMLTD,EQ,77.5,5.92,80,74.6,28-Aug-2026
STEL,EQ,658,3.31,689.95,657.3,16-Jun-2026
STLTECH,BE,730,0.86,757.7,728.6,28-Aug-2026
STOVEKRAFT,EQ,846.7,6.17,859,849.8,06-Aug-2026
SUDEEPPHRM,EQ,1209.7,5,1209.7,1180,20-Aug-2026
SUNLOC,EQ,81,6.68,81,77,28-Aug-2026
SUNSHINE,EQ,452.3,5.25,467.95,441.7,28-Aug-2026
SUPTANERY,BE,14.71,5,14.71,14.01,28-Aug-2026
SURAKSHA,EQ,341,0.24,348.95,343,28-Aug-2026
SUVEN,EQ,392,7.41,395,393.5,24-Aug-2026
TAMBOLIIN,BE,255,-1.71,264.62,262.5,18-Aug-2026
TANKUP,ST,1433.25,5,1433.25,1365,28-Aug-2026
THELEELA,EQ,571.15,2.86,582.85,576,24-Aug-2026
TIMEX,EQ,678.8,3.83,687.8,657,28-Aug-2026
TMB,EQ,929,4.85,941.85,917,27-Jul-2026
TVSSRICHAK,EQ,5480,3.55,5585,5359.3,26-Aug-2026
UNIPARTS,EQ,898,2.85,899.8,879.8,28-Aug-2026
VINCOFE,EQ,185.94,4.48,189.4,181.66,28-Aug-2026
VISHAL,EQ,19.44,3.96,21.94,19.99,21-Aug-2026
VTMLTD,EQ,57.2,-1.72,61.9,58.9,28-Aug-2026
WELSPUNLIV,EQ,195.1,2.44,198,195.35,28-Aug-2026
XTRANET,EQ,196.8,-0.16,206.39,197.11,28-Aug-2026
