"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHANGE 
","VOLUME 
(Shares)","VALUE ","CA 
"
"ETERNAL","328.80","332.95","315.80","328.00","328.10","0.03","27,21,51,922","88,97,73,49,378.68","-"
"LENSKART","646.00","674.90","640.95","636.15","663.00","4.22","11,17,14,980","73,87,37,64,824.60","-"
"LAURUSLABS","1,945.00","1,949.00","1,847.80","1,938.50","1,915.00","-1.21","3,09,95,343","59,18,93,26,899.66","08-May-2026"
"HDFCBANK","723.05","739.75","704.15","720.30","709.00","-1.57","7,81,57,067","56,34,34,29,600.30","19-Jun-2026"
"ADANIENSOL","1,589.00","1,592.90","1,417.40","1,581.40","1,417.40","-10.37","3,55,89,890","51,47,89,96,390.50","14-Jun-2024"
"GROWW","192.00","195.00","190.03","191.46","193.70","1.17","23,54,95,223","45,25,51,17,003.91","-"
"RELIANCE","1,278.70","1,297.60","1,271.00","1,287.00","1,277.00","-0.78","3,48,71,137","44,57,99,58,963.54","05-Jun-2026"
"ADANIENT","3,165.00","3,165.00","2,859.10","3,168.50","2,859.10","-9.76","1,28,72,435","37,56,17,65,330.00","12-Jun-2026"
"ATHERENERG","1,655.00","1,717.70","1,626.40","1,616.30","1,717.70","6.27","1,97,68,043","33,13,87,51,924.34","-"
"BHARTIARTL","1,880.00","1,895.50","1,811.90","1,882.40","1,811.90","-3.75","1,69,21,326","31,26,43,49,557.38","24-Jul-2026"
"BALRAMCHIN","650.20","738.95","647.55","654.85","688.00","5.06","3,95,55,765","28,23,21,36,153.45","17-Nov-2025"
"BALKRISIND","2,320.00","2,371.00","2,241.10","2,340.10","2,300.00","-1.71","96,82,350","22,09,81,24,228.50","04-Aug-2026"
"ICICIBANK","1,422.80","1,454.00","1,419.00","1,422.80","1,454.00","2.19","1,53,31,697","22,01,38,63,820.48","03-Aug-2026"
"BSE","3,405.00","3,408.00","3,216.30","3,405.00","3,282.00","-3.61","61,23,157","20,19,96,82,627.30","10-Jul-2026"
"ASTRAL","1,520.00","1,581.00","1,515.50","1,532.30","1,522.20","-0.66","1,15,16,278","17,60,63,16,131.96","14-Aug-2026"
"SBICARD","632.90","668.45","632.90","641.05","644.75","0.58","2,62,70,918","17,01,04,19,405.00","11-Mar-2026"
"AUGMONT","961.00","1,019.80","900.00","788.00","904.00","-5.93","1,76,91,142","16,85,91,27,591.74","-"
"ADANIPORTS","1,710.00","1,711.40","1,593.10","1,707.50","1,593.10","-6.70","96,21,819","15,59,36,97,180.54","12-Jun-2026"
"ASHOKA","117.70","129.00","116.91","112.65","119.74","6.29","9,84,68,036","12,28,97,95,573.16","20-Sep-2024"
"M&M","3,320.00","3,365.00","3,282.00","3,334.00","3,282.00","-1.56","36,13,080","11,96,92,30,770.00","03-Jul-2026"
