"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"SUNPHARMA",1917,1984.8,1905,1920,1984.8,3.38,2413221,4700085748.44,"07-Jul-2026"
"NESTLEIND",1445.1,1496.5,1427.6,1454.6,1496.5,2.88,2320372,3391896585.88,"10-Jul-2026"
"AXISBANK",1257,1300,1251.2,1265,1300,2.77,6093670,7742068671.7,"10-Jul-2026"
"MAXHEALTH",1013,1042.1,1001.7,1014.1,1042.1,2.76,1685171,1716953325.06,"03-Jul-2026"
"GRASIM",3290,3371,3250,3290,3371,2.46,1019104,3381662230.08,"07-Aug-2026"
"TCS",2342,2399.3,2306.2,2342,2399.3,2.45,2905846,6844487785.32,"15-Jul-2026"
"ICICIBANK",1422.8,1454,1419,1422.8,1454,2.19,15331697,22013863820.48,"03-Aug-2026"
"SHRIRAMFIN",1080,1109.9,1060.1,1086.9,1109.9,2.12,5859843,6335779448.46,"03-Jul-2026"
"WIPRO",180.17,184.5,176.17,180.95,184.5,1.96,16666567,3013481979.27,"27-Jul-2026"
"BAJAJ-AUTO",11910,12130,11877,11910,12130,1.85,355561,4271389849.1,"24-Jun-2026"
"ASIANPAINT",2590,2653.6,2561.1,2608.7,2653.6,1.72,1381178,3596532264.88,"23-Jun-2026"
"INDIGO",5130,5234,5056.5,5166,5234,1.32,559798,2872726592.56,"13-Aug-2025"
"MARUTI",13375,13547,13268,13376,13547,1.28,443131,5942732352.18,"07-Aug-2026"
"JIOFIN",238,241.35,235.5,238.4,241.35,1.24,22007832,5271756077.28,"10-Aug-2026"
"SBIN",1041.2,1060,1034.5,1047.5,1060,1.19,5138732,5378556622.44,"15-May-2026"
"BAJAJFINSV",1985.6,2021,1968,2002,2021,0.95,724648,1446216246,"30-Jun-2026"
"APOLLOHOSP",8850,8902,8813,8838.5,8898.5,0.68,405214,3590147414.32,"14-Aug-2026"
"BEL",411.45,414.45,406.3,411.9,414.45,0.62,12595864,5176900104,"13-Aug-2026"
"COALINDIA",402.05,405.6,399.65,401,401.75,0.19,7827528,3146431430.16,"04-Sep-2026"
"ETERNAL",328.8,332.95,315.8,328,328.1,0.03,272151922,88977349378.68,"-"
