"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENT",3165,3165,2859.1,3168.5,2859.1,-9.76,12872435,37561765330,"12-Jun-2026"
"ADANIPORTS",1710,1711.4,1593.1,1707.5,1593.1,-6.7,9621819,15593697180.54,"12-Jun-2026"
"ITC",266,266.55,255.5,266,255.5,-3.95,24575845,6446244143.5,"27-May-2026"
"BHARTIARTL",1880,1895.5,1811.9,1882.4,1811.9,-3.75,16921326,31264349557.38,"24-Jul-2026"
"TMPV",318.4,318.9,308.85,319.4,308.85,-3.3,9986158,3127964270.34,"19-Jun-2026"
"HINDUNILVR",2001.1,2008.6,1967.4,2010.4,1967.4,-2.14,1800025,3566101528.5,"23-Jun-2026"
"BAJFINANCE",1069.4,1073,1052,1079.9,1057,-2.12,7002192,7421343213.12,"30-Jun-2026"
"HINDALCO",1029.9,1029.9,1005.4,1037.4,1015.45,-2.12,5759006,5853338518.28,"10-Jul-2026"
"JSWSTEEL",1323.8,1326.8,1303.3,1334.9,1307.7,-2.04,1981744,2598106018.88,"07-Jul-2026"
"DRREDDY",1178,1178.1,1154.4,1178,1154.4,-2,2001757,2339253230.2,"10-Jul-2026"
"HDFCBANK",723.05,739.75,704.15,720.3,709,-1.57,78157067,56343429600.3,"19-Jun-2026"
"M&M",3320,3365,3282,3334,3282,-1.56,3613080,11969230770,"03-Jul-2026"
"EICHERMOT",8000,8030,7941.5,8059,7953.5,-1.31,742794,5916161083.56,"31-Jul-2026"
"TITAN",5159,5159,5088,5169.2,5102.4,-1.29,630695,3224749841.95,"09-Jul-2026"
"ULTRACEMCO",11550,11560,11415,11589,11450,-1.2,381057,4369679693.82,"30-Jul-2026"
"SBILIFE",1760,1761.1,1739,1761.1,1740.5,-1.17,796284,1389085586.64,"06-Mar-2026"
"TATASTEEL",185.35,185.82,181.4,186.5,184.35,-1.15,36802869,6718363735.95,"12-Jun-2026"
"KOTAKBANK",421,425.05,419.4,423.7,419.4,-1.01,18992797,8016099901.82,"17-Jul-2026"
"CIPLA",1418,1426.1,1409.2,1423.5,1409.2,-1,977929,1382586240.91,"05-Jun-2026"
"POWERGRID",266.05,266.05,263.15,266.05,263.55,-0.94,11553385,3052866452.4,"13-Aug-2026"
